,DOM,TSCounter,time
637,14.0,1620656703.0,78367209.0
638,16.0,1620656703.0,78367213.0
639,18.0,1620656703.0,78367209.0
640,1.0,1620656704.0,95087606.0
641,2.0,1620656704.0,95087609.0
642,6.0,1620656704.0,95087610.0
643,11.0,1620656704.0,95087608.0
644,12.0,1620656704.0,95087605.0
645,13.0,1620656704.0,95087609.0
646,14.0,1620656704.0,95087599.0
647,16.0,1620656704.0,95087603.0
648,18.0,1620656704.0,95087599.0
649,1.0,1620656705.1,11807916.0
650,2.0,1620656705.1,11807919.0
651,6.0,1620656705.1,11807920.0
652,11.0,1620656705.1,11807918.0
653,12.0,1620656705.1,11807915.0
654,13.0,1620656705.1,11807919.0
655,14.0,1620656705.1,11807909.0
656,16.0,1620656705.1,11807913.0
657,18.0,1620656705.1,11807909.0
658,1.0,1620656706.1,28528266.0
659,2.0,1620656706.1,28528270.0
660,6.0,1620656706.1,28528270.0
661,11.0,1620656706.1,28528268.0
662,12.0,1620656706.1,28528265.0
663,13.0,1620656706.1,28528269.0
664,14.0,1620656706.1,28528259.0
665,16.0,1620656706.1,28528263.0
666,18.0,1620656706.1,28528259.0
667,1.0,1620656707.1,45248841.0
668,2.0,1620656707.1,45248844.0
669,6.0,1620656707.1,45248845.0
670,11.0,1620656707.1,45248843.0
671,12.0,1620656707.1,45248840.0
672,13.0,1620656707.1,45248844.0
673,14.0,1620656707.1,45248834.0
674,16.0,1620656707.1,45248838.0
675,18.0,1620656707.1,45248834.0
676,1.0,1620656708.1,61969243.0
677,2.0,1620656708.1,61969247.0
678,6.0,1620656708.1,61969248.0
679,11.0,1620656708.1,61969245.0
680,12.0,1620656708.1,61969242.0
681,13.0,1620656708.1,61969246.0
682,14.0,1620656708.1,61969237.0
683,16.0,1620656708.1,61969240.0
684,18.0,1620656708.1,61969236.0
685,1.0,1620656709.1,78689668.0
686,2.0,1620656709.1,78689671.0
687,6.0,1620656709.1,78689672.0
688,11.0,1620656709.1,78689670.0
689,12.0,1620656709.1,78689667.0
690,13.0,1620656709.1,78689671.0
691,14.0,1620656709.1,78689661.0
692,16.0,1620656709.1,78689665.0
693,18.0,1620656709.1,78689661.0
694,1.0,1620656710.1,95410241.0
695,2.0,1620656710.1,95410244.0
696,6.0,1620656710.1,95410245.0
697,11.0,1620656710.1,95410243.0
698,12.0,1620656710.1,95410240.0
699,13.0,1620656710.1,95410244.0
700,14.0,1620656710.1,95410234.0
701,16.0,1620656710.1,95410238.0
702,18.0,1620656710.1,95410234.0
703,1.0,1620656711.2,12130843.0
704,2.0,1620656711.2,12130846.0
705,6.0,1620656711.2,12130847.0
706,11.0,1620656711.2,12130844.0
707,12.0,1620656711.2,12130841.0
708,13.0,1620656711.2,12130845.0
709,14.0,1620656711.2,12130836.0
710,16.0,1620656711.2,12130840.0
711,18.0,1620656711.2,12130836.0
712,1.0,1620656712.2,28851292.0
713,2.0,1620656712.2,28851295.0
714,6.0,1620656712.2,28851296.0
715,11.0,1620656712.2,28851293.0
716,12.0,1620656712.2,28851290.0
717,13.0,1620656712.2,28851294.0
718,14.0,1620656712.2,28851285.0
719,16.0,1620656712.2,28851288.0
720,18.0,1620656712.2,28851284.0
721,1.0,1620656713.2,45571179.0
722,2.0,1620656713.2,45571182.0
723,6.0,1620656713.2,45571183.0
724,11.0,1620656713.2,45571180.0
725,12.0,1620656713.2,45571177.0
726,13.0,1620656713.2,45571181.0
727,14.0,1620656713.2,45571172.0
728,16.0,1620656713.2,45571175.0
729,18.0,1620656713.2,45571171.0
730,1.0,1620656714.2,62291649.0
731,2.0,1620656714.2,62291652.0
732,6.0,1620656714.2,62291653.0
